,Date,User,Tweet,Label
0,2022-09-13 05:50:03+00:00,KadalSakitHati,@Bjorxanesian @bjorkanesian Jokowi 😭,Negatif
1,2022-09-13 05:50:01+00:00,Truncvg,"@jokowi Mentolo napuk cocot.e samean aku pak
Ga nduwe cermin ta samean?",Negatif
2,2022-09-13 05:50:01+00:00,WartaEkonomi,"Achmad Nur Hidayat Ungkap Kemungkinan Kaitan Pelengseran Suharso Monoarfa dan Pembangunan IKN, Jokowi Terlibat? https://t.co/e4npctVqqy",Negatif
3,2022-09-13 05:50:00+00:00,okezonenews,"Bjorka: Apa Anda (Jokowi) butuh bantuan saya untuk menyelesaikan masalah ini Pak?

https://t.co/IHgYwLeCKP",Negatif
4,2022-09-13 05:49:57+00:00,infoBanyumas12,"#Foto Presiden Jokowi mengakui kenaikan harga BBM akan memberikan pengaruh laju inflasi. Jokowi meminta pemerintah daerah ikut meredam kenaikan laju inflasi tahun ini.

Foto: Kris/Biro Pers Sekretariat Presiden https://t.co/D45KJhoOTm",Positif
5,2022-09-13 05:49:56+00:00,Metdro2,@Yatie84991237 @_TNIAL_ @edhi_shi @JohnVirgoVj @Hadiwidjaja10 @jokowi @PaimoMontok Iya ini mau dluhuran dulu,Negatif
6,2022-09-13 05:49:55+00:00,Div4_Kir4n4,@jokowi Jual aja pak biar dapat utang👍,Negatif
7,2022-09-13 05:49:53+00:00,JN_Eri,"@Harno140484 @HusinShihab @KejaksaanRI @mohmahfudmd @jokowi Itu Bang, yg buat berita hoax thdap orang Kalimantan, plakunya malah dibebaskan.
Tetap dilanjutkan perjuangan menegakkan kebenaran spaya mereka jangn suka buat berita hoax yg mengadudomba sesama anak Bangsa.",Negatif
8,2022-09-13 05:49:52+00:00,igoynixx,"@jokowi Jangan lupa janji2nya, yaa pak...",Negatif
9,2022-09-13 05:49:50+00:00,siswantos208,"@yosnggarang @jokowi Emg surplus apbn buat subsidi cuma2, klo perlu malah di hapus subsidi, uang subsidi di bagikan buat BLT malah bagus.",Negatif
10,2022-09-13 05:49:46+00:00,AkuTerpesona8,"@mahasiswigenz @jokowi DPRD cari temen baru ?
🤣🤣🤣",Negatif
11,2022-09-13 05:49:26+00:00,MunawarVaraby,@pengarang_sajak Cuma jokowi yang betul2 membangun Aceh secara nyata 👍,Positif
12,2022-09-13 05:49:25+00:00,romeo08657467,"@jokowi Beli pertalite di SPBU antri nya  2 jam ,beli di pom mini  atau eceran  harga nya 14 ribu perliter,",Negatif
13,2022-09-13 05:49:25+00:00,AnakLurahIstana,"@Saudi_pang @yosnggarang @jokowi @msaid_didu dari dulu ebong itu tololnya diborong semua,... BLT untuk wong cilik mana?",Negatif
14,2022-09-13 05:49:25+00:00,Amll__13,@blckrem Siapa tau bapak Jokowi buatin jembatan,Negatif
15,2022-09-13 05:49:16+00:00,iwanKur76759461,"@yosnggarang @jokowi Maklumin aja deh, namanya juga:
•Raja Ngibul 
•Raja Nge-Prank
•Bisanya cuma plonga-plongo
Kagak Ngibul sehari bisa bisa klemer-klemer

#FaktaNoHoax",Negatif
16,2022-09-13 05:49:13+00:00,fadlidzon,"Kepedulian presiden Jokowi thd pembangunan layak diapresiasi. Bersama pekerja2 Bendungan Sukamahi dan Bendungan Ciawi, dua bendungan di Jawa Barat, untuk pengendalian banjir Jakarta. #BersamaJokowi #IndonesiaMaju  
https://t.co/Q6WVaxBfgI",Positif
17,2022-09-13 05:49:13+00:00,CanEmbIndonesia,Today our new Ambassador Nadia Burger @NadiaBCanada presented her letters of credence to President @jokowi at Presidential Palace in Jakarta. She’s  officially Canada’s 28th ambassador to Indonesia. #CanadaIndonesia70 https://t.co/XR9pcVc20z,Positif
18,2022-09-13 05:49:12+00:00,Komariacocom,"@jokowi Plis inpes in may kantry. Ples utangin dong.
Kapan temui pendemo pak. Ktnya kangen di demo. 
Kt nya Suara rakyat adlh suara tuhan. 
Tuhan sj dibohongi apalagi rakyat. Biasakan budaya malu. Ngak mampu urus negara MUNDUR",Negatif
19,2022-09-13 05:49:10+00:00,AgungConqueror,@jokowi PEMBUAT HOAX TERBAIK ADALAH ISTANO HAHAHAHA. https://t.co/M7yClUAKx4,Negatif
20,2022-09-13 05:49:06+00:00,didisyaipudin9,@gembong_warsono @papa_loren @jokowi @basuki_btp @Jarot Trs teman separtai anda apa kah memenuhi target...objektig dong,Negatif
21,2022-09-13 05:49:04+00:00,BukaMat4,"#Jokowi
#MembangunNKRI
#IndonesiaMembangun https://t.co/iC6YOmg8F4",Positif
22,2022-09-13 05:49:02+00:00,erwinsudarman,@jokowi Presiden seremonial aja. Useless,Negatif
23,2022-09-13 05:49:02+00:00,goro2bojo,@AT_AbdillahToha @jokowi Yoh nda tau kok mensen saya..,Negatif
24,2022-09-13 05:48:56+00:00,Muhamma27742297,@jokowi Assalamualaikum bapak Jokowi yang saya cintai saya mau nanya pak ada ga bantuan yg untuk usaha merintis. Soalnya kalu tidak karyawan baru merintis usaha kok ga dapat bantuan,Negatif
