videoId,parentId,commentId,textDisplay,Label
0Yw9y1GPGBU,,UgxtUTiV7u0O73zs50F4AaABAg,Lu botak d bayar berapa sama ganjar...,Negatif
0Yw9y1GPGBU,UgzMe2SGb3vmdHLignJ4AaABAg,UgzMe2SGb3vmdHLignJ4AaABAg.9j6oiqnh3IB9j750lSBqHI,💙 Survey sudah membuktikan Ganjar Unggul 💙,Positif
0Yw9y1GPGBU,UgxgnzLuclva7k0Vq9l4AaABAg,UgxgnzLuclva7k0Vq9l4AaABAg.9j6oVnDr5pB9j75YWSepI8,💙 Survey sudah membuktikan Ganjar Unggul 💙,Positif
0Yw9y1GPGBU,Ugx7v6GhTJYOtfJCNxF4AaABAg,Ugx7v6GhTJYOtfJCNxF4AaABAg.9j6kMZNCcFS9j74v4sc8sv,💙 Survey sudah membuktikan Ganjar Unggul 💙,Positif
0Yw9y1GPGBU,UgwjCTTI1Cv9WfOzY1N4AaABAg,UgwjCTTI1Cv9WfOzY1N4AaABAg.9j6a423Yra99j75f5JJlyr,💙 Survey sudah membuktikan Ganjar Unggul 💙,Positif
0Yw9y1GPGBU,,UgwSdL0a8WamyJ7WvWp4AaABAg,Hasil analisa survei sekarang rakyat sdh tdk percaya. Krn jk hasil survei bayaran..atau abal² apa gunanya.,Negatif
0Yw9y1GPGBU,,UgxMOdEKnZmBuv4sOZJ4AaABAg,GANJAR FOR RI 1 DI 2024...!!!<br>InsyaAllah,Positif
0Yw9y1GPGBU,UgxRAb9jvtrolwUsFKV4AaABAg,UgxRAb9jvtrolwUsFKV4AaABAg.9j6WyECZy189j752PIH7xa,💙 Survey sudah membuktikan Ganjar Unggul 💙,Positif
0Yw9y1GPGBU,Ugxt1KYdPbKOFM-H1hJ4AaABAg,Ugxt1KYdPbKOFM-H1hJ4AaABAg.9j6W81ERHNT9j74xbHqd_4,💙 Survey sudah membuktikan Ganjar Unggul 💙,Positif
0Yw9y1GPGBU,,UgyH35lkt42dayYt87B4AaABAg,Ah masaaaa😁😁😁,Negatif
0Yw9y1GPGBU,UgxAw1WGNZwoUWS0hYZ4AaABAg,UgxAw1WGNZwoUWS0hYZ4AaABAg.9j67VWxncI99j6SxFke02m,Ganjar Pranowo TERATAS ☝,Positif
0Yw9y1GPGBU,,UgzldLNikmsIaJyhA954AaABAg,Survei abal2 dimana sj yg di Survei si Yunarto bijana nieee. Tdk percaya dgn Survei ini.,Negatif
0Yw9y1GPGBU,UgwVPh4yLHKNMy1n4lx4AaABAg,UgwVPh4yLHKNMy1n4lx4AaABAg.9j5wkwPP_MU9j6SyIEuHzk,Ganjar Pranowo TERATAS ☝,Positif
0Yw9y1GPGBU,,UgzyurmfppcVXuaKtBF4AaABAg,GANJAR PRESIDEN PRABOWO WAPRES  MANTAP,Positif
0Yw9y1GPGBU,,UgzHhIoKUBWBHK1y9fl4AaABAg,"Di uji aja nanti debate presidennya dlm bhs inggris, yakin cepet ketawan tuh siapa akan bawa perubahan. Anak2 millennials jago2 skrg 😅. Jgn cuma issue Islamophobia doang tapi pas bhs inggris minder…",Negatif
0Yw9y1GPGBU,UgxonfcZfhlmnxx3FP14AaABAg,UgxonfcZfhlmnxx3FP14AaABAg.9j5ksgoMx3O9j6STh3hZsO,Ganjar Pranowo TERATAS ☝,Positif
0Yw9y1GPGBU,,Ugwwc8tptLdfvKWr8Lt4AaABAg,Ganjar Pranowo blm di deklarasikan menjadi  capres aja sudah no satu mantap kan begitu di CAPRES kan dan pak Jokowi mendukung pak GANJAR Pranowo pasti bakal Manang di pemilu 2024 dan menjadi penerus pak Jokowi,Positif
0Yw9y1GPGBU,UgzuQnKg-WLHIVhbZ5N4AaABAg,UgzuQnKg-WLHIVhbZ5N4AaABAg.9j5k02JUgGj9j6S7y217mW,Ganjar Pranowo TERATAS ☝,Positif
0Yw9y1GPGBU,,Ugz6gV6TTAAd8ZFCK4t4AaABAg,Sy lebih percaya surveynya ILC,Negatif
0Yw9y1GPGBU,UgxD-DflKdE-NSrUaYx4AaABAg,UgxD-DflKdE-NSrUaYx4AaABAg.9j5gsN4WqWr9j74oxewKyt,💙 Survey sudah membuktikan Ganjar Unggul 💙,Positif
0Yw9y1GPGBU,,Ugy9SuOmoHxAWcRgi794AaABAg,Siap menang. Harus siap kalah.<br>Jangan belum 2  sdh menuduh. Survey  bohong. Pemilu curang. KPU. tdk bisa di percaya. Pemerintah tdk netral.<br>Klu sdh begini. Ngak usah ikut pilpres.<br>Narasi. Klu kalah berarti curang. Itu  sdh basi. Tdk sportif. Primitif.,Positif
0Yw9y1GPGBU,,UgwZYU66PJ5A3tGhHLh4AaABAg,Dari dulu pilih p prabowo smoga di th 2024 p prabowo jd RI 1,Positif
0Yw9y1GPGBU,,Ugwlb1YndqRAF0R0oud4AaABAg,Kekuatan kekuasaan sangat besar untuk mendukung calonnya.,Negatif
0Yw9y1GPGBU,Ugz_ndf1H4wVr7CdFth4AaABAg,Ugz_ndf1H4wVr7CdFth4AaABAg.9j5cI7E5Ya79j6SLy_NPS3,Ganjar Pranowo TERATAS ☝,Positif
0Yw9y1GPGBU,Ugy1C_ChmKmTmWTEmb94AaABAg,Ugy1C_ChmKmTmWTEmb94AaABAg.9j5_A4GAss_9j74qoS1IJT,💙 Survey sudah membuktikan Ganjar Unggul 💙,Positif
0Yw9y1GPGBU,,Ugz3eV93_UA7sFE2vYF4AaABAg,Tetap Prabowo,Positif
0Yw9y1GPGBU,UgyxwNCycoxXE8sBF5B4AaABAg,UgyxwNCycoxXE8sBF5B4AaABAg.9j5UsBtvXoj9j6T5-te88y,Ganjar Pranowo TERATAS ☝,Positif
0Yw9y1GPGBU,,Ugzzdh7jIZPU6cGAFKV4AaABAg,Tapi jangan lupa..yg hampir pasti pegang tiket jadi capres..hanya prabowo lhoo...ganjar msh nunggu restu ketum..anis msh nunggu partai lain selain nasdem..,Positif
0Yw9y1GPGBU,UgwllRbW7wMJisFyEmx4AaABAg,UgwllRbW7wMJisFyEmx4AaABAg.9j5Rq7uFKHW9j6SJKEq8bx,Ganjar Pranowo TERATAS ☝,Positif
0Yw9y1GPGBU,UgwllRbW7wMJisFyEmx4AaABAg,UgwllRbW7wMJisFyEmx4AaABAg.9j5Rq7uFKHW9j5jLjqJLVs,"Ganjar blm diusung aja surveynya tertinggi, deklarasi relawan dmn2 aplg klo dideklarasikan &amp;mesin pdip bergerak",Positif
0Yw9y1GPGBU,UgxPCQbQKaDcWpLAXlV4AaABAg,UgxPCQbQKaDcWpLAXlV4AaABAg.9j5RFVKa3ag9j6S5DNHBtM,Ganjar Pranowo TERATAS ☝,Positif
0Yw9y1GPGBU,,Ugxjg29Fgjc0WT7ZjD94AaABAg,JANGAN PILIH CAPRES KETURUNAN KADAL GURUN  UNTA ARAB alias ANIS B.,Negatif
0Yw9y1GPGBU,,UgzdfZluHP169Hmbeht4AaABAg,"Gw heran, cm bikin sumur aj mangkrak kok ya mo nyapres 😂",Negatif
0Yw9y1GPGBU,,UgwhoG1B3o5Y8VMSy0d4AaABAg,Pak Ganjar Pranowo akan liding terus kecuali pak Prabowo akan naik jadi peringkat kedua,Negatif
0Yw9y1GPGBU,,Ugyaqene0jD23HRZPcV4AaABAg,Ini bukan pemilih nya yg eror tapi tukang surwe nya yg eror orang udah pada mati kena korona masih disurwe ya patasan siuban unggul ganjar di jateng udah nggalaku yunarto jangan menggiring opini,Negatif
0Yw9y1GPGBU,,UgxE3uMe_IyN-6yq6i54AaABAg,tumben.....,Negatif
0Yw9y1GPGBU,UgwKftUMtN_fHQV6pNx4AaABAg,UgwKftUMtN_fHQV6pNx4AaABAg.9j5JV3qjcSZ9j6SHJxMH02,Ganjar Pranowo TERATAS ☝,Positif
0Yw9y1GPGBU,UgxiBDhFrajG_vOH_Ml4AaABAg,UgxiBDhFrajG_vOH_Ml4AaABAg.9j5H2qBa0ht9j6T7ZbxGrs,Ganjar Pranowo TERATAS ☝,Positif
0Yw9y1GPGBU,UgwxUvWGgmDWg2YBaKR4AaABAg,UgwxUvWGgmDWg2YBaKR4AaABAg.9j5GlOy77E_9j6SVZLAhSy,Ganjar Pranowo TERATAS ☝,Positif
0Yw9y1GPGBU,,UgwY1a6D4WveRfdsUv14AaABAg,"Ganjar pasti menang, jika ganjar tdk diusung PDIP diambil KIB...PDIP tepar....",Positif
0Yw9y1GPGBU,UgygnVZJpISc8cvFN9B4AaABAg,UgygnVZJpISc8cvFN9B4AaABAg.9j5FKX0RgUZ9j75WMWVRFs,💙 Survey sudah membuktikan Ganjar Unggul 💙,Positif
0Yw9y1GPGBU,UgygnVZJpISc8cvFN9B4AaABAg,UgygnVZJpISc8cvFN9B4AaABAg.9j5FKX0RgUZ9j6dP--tOTz,@Marlboro ya klo berdua dg prabowo.... Tanpa pak Anies. ☺️☺️☺️☺️,Negatif
